# File generated by rsa_timing_lab
# Date: 2025-08-12T06:09:12.450059
#
trial_id,key_size,key_seed,sample_seed,n,e,d,p,q
always_sub_10us_ks64_key06,64,68,1000068,9359801449888815239,65537,6794235837439638593,2490106849,3758795111
always_sub_10us_ks64_key07,64,69,1000069,16761716308307048849,65537,9367706531031247853,3927887911,4267361159
always_sub_10us_ks64_key08,64,70,1000070,11637960847095755671,65537,510715708326736289,3549498067,3278762413
always_sub_10us_ks64_key09,64,71,1000071,10764347342148160771,65537,953297708710224321,3255057929,3306960299
always_sub_10us_ks128_key00,128,72,1000072,198039523334220621993895212119423567131,65537,108890462232763784007989315294401929993,15413330905473020879,12848587015276499189
always_sub_10us_ks128_key01,128,73,1000073,200928130166724078796656155757397073831,65537,23834098050202374053503949177484942977,14966034059191314977,13425609575124885703
always_sub_10us_ks128_key02,128,74,1000074,288343623484719387662712261535100118557,65537,140069084597395767651073782008048218001,16476582814717291459,17500207823867685023
always_sub_10us_ks128_key03,128,75,1000075,182393780624183292056804901497993818667,65537,144382668492637823018595390302779458233,10518217111064818381,17340750689801890007
always_sub_10us_ks128_key04,128,76,1000076,185135149946352666635567144873703246491,65537,150414364313952333585479785104205147745,10864613454997976809,17040196663525673699
always_sub_10us_ks128_key05,128,77,1000077,188293375018210135215811626730699290241,65537,181084804624071110984526645448409837569,10563774452625756449,17824441052071827809
always_sub_10us_ks128_key06,128,78,1000078,206268108361826124489363516826836465967,65537,35527326658044971434599893906019666177,12742082373054430463,16187943408529478609
always_sub_10us_ks128_key07,128,79,1000079,199822906720128084402271187439171594809,65537,154837827059039390096385612467233647233,16557761570189946889,12068231920906671281
always_sub_10us_ks128_key08,128,80,1000080,255352207637467882326470404617310526207,65537,244310076376583435669953326616635183713,17742961998503273137,14391746296870184111
always_sub_10us_ks128_key09,128,81,1000081,237156130280053110567700547154676584977,65537,124311832148414857351933469619920121857,14938585032098038529,15875407862959152913
always_sub_50us_ks64_key00,64,82,1000082,15136545580363416779,65537,3074794867138420313,3695446421,4095999199
always_sub_50us_ks64_key01,64,83,1000083,12256061022325838323,65537,2244304564519312657,3474438587,3527493929
always_sub_50us_ks64_key02,64,84,1000084,13170517812383163079,65537,1104895050009720353,3880853791,3393716569
always_sub_50us_ks64_key03,64,85,1000085,9959300178157220383,65537,9911279376411775073,2389282351,4168322833
always_sub_50us_ks64_key04,64,86,1000086,12461677601226331157,65537,4963222432549369289,3191829583,3904242779
always_sub_50us_ks64_key05,64,87,1000087,9289341163700686133,65537,1091129411334200345,2586376699,3591642767
always_sub_50us_ks64_key06,64,88,1000088,11128747715369252879,65537,7834969853244009953,2686662533,4142220163
always_sub_50us_ks64_key07,64,89,1000089,10699206448176960667,65537,5255487034331952129,3374269523,3170821529
always_sub_50us_ks64_key08,64,90,1000090,9376605765282947801,65537,4368462145704153473,3457345201,2712082601
always_sub_50us_ks64_key09,64,91,1000091,14470892204782919513,65537,12985316679472668053,3551965103,4074052471
always_sub_50us_ks128_key00,128,92,1000092,177232098866358740691079966895543136047,65537,39920964393627839688852165150164139953,12748048251749023181,13902684973132465387
always_sub_50us_ks128_key01,128,93,1000093,235155151252142596459879494355429227947,65537,134314399145848205015725530863024577713,18391037478213504227,12786399436720926361
always_sub_50us_ks128_key02,128,94,1000094,173174446060529068415414920160664338809,65537,172926061210296532073645535798256813933,9767602123921009139,17729473811839874531
always_sub_50us_ks128_key03,128,95,1000095,187348253211281077177244203944848657557,65537,29086904747315027541687685418389145973,13034517991222282151,14373239834219057507
always_sub_50us_ks128_key04,128,96,1000096,177959538841359489293897568305505659993,65537,165034208037617005343409314136480781781,14124617602808237479,12599246496130119167
always_sub_50us_ks128_key05,128,97,1000097,279389260475658336385182174473989763249,65537,54882849983423492411795028328322635145,17657869996869504707,15822364788345942907
always_sub_50us_ks128_key06,128,98,1000098,214750443691373432165401031128271052263,65537,210218654570339978412585978333559513649,12146517165395754899,17680001663618979037
always_sub_50us_ks128_key07,128,99,1000099,265602999240534436488136004392082973929,65537,183454399295379287044447929300254087693,16910364919620964819,15706520852921236691
always_sub_50us_ks128_key08,128,100,1000100,209438450540468009562562970126278392331,65537,54420058505174630122565759317483631017,16779931793298976013,12481484020340698487
always_sub_50us_ks128_key09,128,101,1000101,275629970325860550493803477568978051141,65537,103876964723414708269005477886960145477,16016311984495589567,17209328251889763323
always_sub_100us_ks64_key00,64,102,1000102,9836873088001975369,65537,248709869174471057,2432035693,4044707533
always_sub_100us_ks64_key01,64,103,1000103,10413237327053602403,65537,9954677989114262273,3103054051,3355802753
always_sub_100us_ks64_key02,64,104,1000104,9774579714299963879,65537,1101890457016794689,2416219823,4045401673
always_sub_100us_ks64_key03,64,105,1000105,14150173089003107917,65537,4899241304787457473,3744718001,3778701917
always_sub_100us_ks64_key04,64,106,1000106,17308663535698168133,65537,8021139508825790753,4255157993,4067689981
always_sub_100us_ks64_key05,64,107,1000107,13000635322755850921,65537,9407344379008978349,3239821759,4012762519
always_sub_100us_ks64_key06,64,108,1000108,9507803681058665887,65537,2485140866241467873,3013176167,3155409161
always_sub_100us_ks64_key07,64,109,1000109,11147793162780284099,65537,8623520601109804673,3348283651,3329405249
always_sub_100us_ks64_key08,64,110,1000110,15479500467692789323,65537,3618977158634173073,3997736551,3872066173
always_sub_100us_ks64_key09,64,111,1000111,16303442001601271423,65537,10351691841776710721,4123345799,3953935177
always_sub_100us_ks128_key00,128,112,1000112,172893097838841945569183667139703262817,65537,147469737235321494053750567681332282673,10226827800076261219,16905838371264321643
always_sub_100us_ks128_key01,128,113,1000113,207987207313595937150297307939497039007,65537,129479073976340092445535578660248176345,16927020471040637603,12287289878890854869
always_sub_100us_ks128_key02,128,114,1000114,289835166869765200032120291143622311543,65537,91390263871762483146306758962530069833,17763513147412062677,16316320114413336859
always_sub_100us_ks128_key03,128,115,1000115,175934337834003260584364695380136833529,65537,77525790657310834515023545014302117533,18200510145325108739,9666450908750646611
always_sub_100us_ks128_key04,128,116,1000116,211887450260271949280097316212370822633,65537,143012793915084141830461864810568750153,17726220319749134671,11953335027896721223
always_sub_100us_ks128_key05,128,117,1000117,219938427550354960593369806117745278713,65537,121313978630663311860581442892563835829,12886729059968233387,17067048319777208299
always_sub_100us_ks128_key06,128,118,1000118,230203589360228982731671309674282096373,65537,200153515249775972233710191636063039561,13929940248809561087,16525813122558221579
always_sub_100us_ks128_key07,128,119,1000119,295776126814679127020896920235252244491,65537,212283468528954057952961808491288515385,16674905781951059893,17737798982638186687
always_sub_100us_ks128_key08,128,120,1000120,253941394413124331084727860236028484737,65537,56738389587429689787537748684940137613,17078695004602225367,14868899195441707111
always_sub_100us_ks128_key09,128,121,1000121,248898098524188557359200590629687763303,65537,87334798261474282684650676153425912833,14488654605296319361,17178827524344738023
